Action Date,Company Name,Ticker,Split Ratio,Fractional Behavior
2023-06-05,"Acorda Therapeutics, Inc.",ACOR,1:6,True
2020-12-31,"Ameri Holdings, Inc.",AMRH,1:4,True
2020-12-22,Washington Prime Group,WPG,1:9,True
2020-12-09,Aytu BioScience,AYTU,1:10,True
2020-12-02,Viveve Medical,VIVE,1:10,True
2020-12-01,Titan Pharmaceuticals,TTNP,1:30,True
2020-11-30,Hancock Jaffe Laboratories Inc.,HJLI,1:25,True
2020-11-27,"Dolphin Entertainment, Inc.",DLPN,1:5,False
2020-11-24,CVR Partners LP,UAN,1:10,False
2020-11-23,Enservco,ENSV,1:15,True
2020-11-20,BIO-key,BKYI,1:8,True
2020-11-10,Summit Midstream,SMLP,1:15,False
2020-11-09,WidePoint,WYY,1:10,True
2020-10-30,Intec Pharma,NTEC,1:20,True
2020-10-29,Hudson Capital,HUSN,1:5,True
2020-10-19,Abraxas Petroleum,AXAS,1:20,True
2020-10-14,Cool Holdings,AWSM,1:10,True
2020-10-13,Sharing Economy Int'l,SEII,1:50,True
2020-09-16,ImmunoCellular Therapeutics,IMUC,1:10,False
2020-09-03,China Ceramics Co.,CCCL,1:3,True
2021-06-16,"Urban Tea, Inc.",MYT,1:10,True
2020-08-17,Shineco,TYHT,1:9,True
2020-08-14,Ocwen Financial Corporation,OCN,1:15,True
2020-08-12,NeuroBo Pharmaceuticals CVR,NRBO^,1:25,False
2020-08-03,Houston American Energy,HUSA,1:12,True
2023-05-01,"Vislink Technologies, Inc.",VISL,1:6,True
2023-07-24,Atento S.A.,ATTO,1:5,True
2023-08-01,Taoping Inc.,TAOP,1:6,True
2020-10-01,BBX Capital,BBX,1:5,True
2020-07-10,"JAKKS Pacific, Inc.",JAKK,1:10,True
2020-07-07,"Sino-Global Shipping America, Ltd",SINO,1:5,True
2020-05-29,DropCar Inc,DCAR,1:10,True
2020-05-28,Teligent,TLGT,1:10,True
2020-05-20,RumbleOn,RMBL,1:20,True
2020-05-11,Aurora Cannabis,ACB,1:12,False
2021-10-01,"Document Security Systems, Inc.",DSS,1:30,True
2020-04-15,ToughBuilt Industries,TBLT,1:10,True
2020-04-15,China Recycling Energy,CREG,1:10,True
2020-04-13,Pacific Ventures Group,PACV,1:500,True
2020-04-09,Summit Wireless,WISA,1:20,True
2020-03-25,Ekso Bionics,EKSO,1:15,True
2020-03-16,Summer Infant,SUMR,1:9,True
2020-03-09,Key Energy Services,KEGX,1:50,True
2020-02-28,Sigma Labs,SGLB,1:10,True
2020-02-12,InVivo Therapeutics,NVIV,1:30,True
2020-01-28,Gulf Resources,GURE,1:5,True
2020-01-15,Interpace Biosciences,IDXG,1:10,True
2023-03-15,Inpixon,INPX,1:45,True
2019-12-27,Recon Technology,RCON,1:5,False
2019-12-24,Delcath Sys,DCTH,1:700,True
2019-12-23,Nova Lifestyle,NVFY,1:5,True
2019-12-20,Amira Nature Foods,ANFI,1:20,True
2019-12-20,Naked Brand,NAKD,1:100,True
2019-12-16,ShiftPixy,PIXY,1:40,True
2019-12-12,TransEnterix,TRXC,1:13,True
2019-12-05,Nemaura Medical,NMRD,1:10,True
2019-11-29,Comstock Mining,LODE,1:5,True
2019-11-27,Growlife,PHOT,1:150,True
2021-04-19,Akers Biosciences,AKER,1:24,True
2019-11-25,Ameri Holdings,AMRH,1:25,True
2019-11-19,NeuroMetrix WarrantS,NUROW,1:10,False
2019-11-19,My Size,MYSZ,1:15,True
2019-11-18,DarioHealth,DRIO,1:20,True
2019-11-08,TRACON Pharmaceuticals,TCON,1:10,True
2019-11-01,Applied DNA Sciences,APDN,1:40,True
2019-11-01,Tonix Pharmaceuticals,TNXP,1:10,True
2019-10-29,Camber Energy,CEI,1:50,True
2019-10-29,Predictive Oncology,POAI,1:10,True
2019-10-22,Capstone Turbine,CPST,1:10,True
2019-10-22,Kingold Jewelry,KGJI,1:6,True
2019-10-16,Vicon Industries,VCON,1:2000,True
2019-10-15,Aethlon Medical,AEMD,1:15,True
2019-09-26,One Horizon Group,OHGI,1:25,True
2019-09-24,NanoViricides,NNVC,1:20,True
2019-09-23,American Green,ERBB,1:500,True
2019-09-03,Marijuana Company of America,MCOA,1:60,True
2019-08-30,Sunworks,SUNW,1:7,True
2019-08-29,OpGen WarrantS,OPGNW,1:20,True
2019-08-20,Ideal Power,IPWR,1:10,True
2019-12-02,Internet Gold Golden Lines,IGLD,1:100,True
2019-08-09,FalconStor Software,FALC,1:100,True
2019-08-06,Plus Therapeutics,PSTV,1:50,True
2019-07-30,Sysorex,SYSX,1:100,True
2020-01-21,SiNtx Technologies,SINT,1:30,True
2019-07-25,Obalon,OBLN,1:10,True
2019-07-25,Pluristem Therapeutics,PSTI,1:10,True
2020-05-18,Synthesis Energy Systems,SES,1:8,True
2019-11-01,Neuralstem,CUR,1:20,True
2019-10-29,Camber Energy,CEI,1:25,True
2020-04-17,Yuma Energy,YUMA,1:15,True
2019-07-02,Neovasc,NVCN,1:10,False
2019-07-01,aTyr Pharma,LIFE,1:14,True
2019-06-28,China Green Agriculture,CGA,1:12,False
2019-06-25,Xenetic Biosciences,XBIO,1:12,True
2019-06-13,Cemtrex,CETX,1:8,True
2019-06-11,Hudson Global,HSON,1:10,True
2019-09-03,Hemispherx,HEB,1:44,True
2019-06-10,Stellar Biotechnologies,SBOT,1:6,False
2041-05-24,Obsidian Energy,OBE,1:7,False
2019-06-05,Digirad,DRAD,1:10,True
2019-11-01,Cesca Therapeutics,KOOL,1:10,True
2019-06-03,ContraVir,CTRV,1:70,True
2019-05-22,Genocea Biosciences,GNCA,1:8,True
2019-05-21,Navios Maritime,NMM,1:15,False
2019-05-13,Vislink Technologies,VISL,1:10,True
2020-03-09,Glowpoint,GLOW,1:10,True
2019-04-15,Vital Therapies,VTL,1:40,True
2019-04-08,Marathon Patent Group,MARA,1:4,True
2019-04-01,ReWalk Robotics,RWLK,1:25,False
2019-03-26,CorMedix,CRMD,1:5,True
2019-03-18,"Attis Industries, Inc.",ATIS,1:8,True
2019-03-15,Reebonz Holding Limited,RBZ,1:8,True
2019-03-12,Ocean Power Technologies,OPTT,1:20,True
2020-07-16,Endologix,ELGX,1:10,True
2019-02-20,TrovaGene,TROV,1:6,True
2019-02-06,Pulmatrix Inc,PULM,1:10,True
2020-12-01,Titan Pharmaceuticals,TTNP,1:6,True
2019-01-24,Apricus Biosciences,APRI,1:30,True
2019-01-18,Bio-Path Holdings,BPTH,1:20,True
2019-09-12,Och-Ziff Capital Management,OZM,1:10,True
2019-01-02,Regional Health Properties,RHE,1:12,True
2019-10-29,Camber Energy,CEI,1:25,True
2018-12-17,Platinum Group Metals,PLG,1:10,True
2018-12-14,Diffusion Pharmaceuticals,DFFN,1:15,True
2018-12-14,Global Boatworks Holdings,GBBT,1:1,True
2018-10-01,American Lorain Company,ALN,1:25,True
2018-09-26,Onconova Therapeutics,ONTX,1:15,True
2018-09-11,Vivus Inc,VVUS,1:10,True
2018-09-05,Microbot Medical,MBOT,1:15,True
2021-07-26,Auris Medical Holding,EARS,1:10,True
2017-10-11,InfoSonics Corp,IFON,1:5,True
2017-10-10,"Tandem Diabetes Care, Inc.",TNDM,1:10,True
2019-05-06,"Alliqua BioMedical, Inc.",ALQA,1:10,True
2023-09-29,"TOP Ships, Inc.",TOPS,1:2,False
2021-11-05,"Net Element, Inc.",NETE,1:10,True
2017-08-29,LiNiu Technology Group,LINU,1:6,True
2017-08-03,TOP SHIPS Inc,TOPS,1:30,False
2017-06-19,"Cobalt International Energy, Inc.",CIE,1:15,True
2017-03-13,Fibrocell Science Inc,FCSC,1:3,True
2017-02-23,"Rennova Health, Inc",RNVA,1:30,True
